id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11070158,Home in New Orleans · ★4.83 · 2 bedrooms · 3 beds · 1 bath,34700326,Meagan,,Leonidas,29.95477,-90.12574,Entire home/apt,89,1,278,2023-11-19,2.93,1,65,17,"22RSTR-16641, 20-OSTR-26132"
11166231,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1 private bath,59095,Gina,,Broadmoor,29.9517,-90.10268,Private room,79,2,130,2023-11-26,1.37,1,119,5,"19STR-20299, 19-OSTR-20299"
11222998,Home in New Orleans · ★4.96 · 3 bedrooms · 5 beds · 2 baths,54087021,Meg,,Bayou St. John,29.9806,-90.08508,Entire home/apt,338,4,115,2023-11-27,1.24,1,208,11,"23-NSTR-16060, 23-OSTR-04864"
11228680,Home in New Orleans · ★4.85 · 3 bedrooms · 5 beds · 2 baths,58525489,Paula,,Fillmore,30.01757,-90.07643,Entire home/apt,90,1,112,2020-03-15,1.24,1,0,0,"20STR-01157, 19-OSTR-0000"
11259337,Rental unit in New Orleans · ★4.93 · 1 bedroom · 2 beds · 1 bath,4951914,Thom,,Marigny,29.9666,-90.05197,Entire home/apt,175,2,256,2023-11-12,2.70,4,110,8,"21str-10313, 21-OSTR-02759"
11315513,Rental unit in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 bath,53372927,Maxie And Lydia,,Bayou St. John,29.98115,-90.08771,Entire home/apt,76,2,209,2023-11-27,2.25,6,132,24,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11358308,Bungalow in New Orleans · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,59497925,Jordan,,Audubon,29.94752,-90.12054,Private room,55,30,45,2019-01-02,0.48,1,365,0,
11376132,Home in New Orleans · ★5.0 · 4 bedrooms · 6 beds · 3 baths,43724872,David,,Lower Garden District,29.93322,-90.07705,Entire home/apt,711,30,45,2023-05-28,0.50,1,289,4,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11399897,Rental unit in New Orleans · ★4.93 · 2 bedrooms · 2 beds · 2 baths,6932690,Skl,,Central Business District,29.95292,-90.07024,Entire home/apt,350,3,103,2023-11-13,1.09,2,0,15,20-CSTR-00677
11413315,Home in New Orleans · ★4.92 · 6 bedrooms · 10 beds · 2.5 baths,59923900,Airyn,,Milan,29.92844,-90.09995,Entire home/apt,1300,2,86,2023-09-24,0.91,1,308,7,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11414917,Home in New Orleans · ★4.94 · 2 bedrooms · 2 beds · 1 bath,5669844,Ryan,,Bywater,29.96251,-90.03394,Entire home/apt,239,2,104,2023-11-13,1.11,1,310,13,"19STR-23255, 19-OSTR-0000"
11419603,Townhouse in New Orleans · ★4.70 · 3 bedrooms · 5 beds · 2 baths,39839266,New Orleans Properties,,Seventh Ward,29.966824,-90.063499,Entire home/apt,332,3,159,2023-10-30,1.72,10,144,11,"21STR-25811, 21-OSTR-08565"
